index,Category,Material,Recyclability_pct,Carbon_kgCO2,Biodegradability,Lifespan_years,Label,Variant
885,Reusable Straws,Plastic Straw,54.6,4.414,0.0,0.49,Not Sustainable,Premium
343,Disposable Cups,Paper Cup,77.5,1.477,80.3,1.92,Moderate,Coated
57,Bags,Polyester Bag,57.3,7.442,0.7,4.43,Not Sustainable,Standard
695,Crayons,Soy Crayons,26.1,0.71,95.2,1.8,Moderate,Untreated
722,Geometry Boxes,Plastic Geometry Box,46.2,3.401,1.1,3.14,Not Sustainable,Low-Grade
615,Seedling Pots,Plastic Nursery Pot,8.4,3.161,0.0,4.12,Not Sustainable,Standard
1004,Spoon,Steel Spoon,92.4,4.103,0.0,19.62,Moderate,Coated
89,Plates,Bamboo Plate,89.2,0.306,93.4,2.04,Eco-Friendly,Standard
410,Laptop Cooling Pads,Metal Cooling Stand,85.1,2.033,0.0,14.44,Moderate,Coated
802,Edible Packaging,Edible Rice Straw,21.5,5.312,0.0,2.3,Not Sustainable,Low-Grade
502,Wall Clocks,Wooden Wall Clock,86.1,0.628,89.6,6.19,Moderate,Coated
430,Belts,Leather Belt,43.4,9.997,6.7,3.27,Not Sustainable,Low-Grade
434,Belts,Leather Belt,28.4,11.356,13.9,3.31,Not Sustainable,Low-Grade
450,Belts,Leather Belt,41.5,9.266,19.3,3.28,Not Sustainable,Coated
211,Food Wraps,Beeswax Food Wrap,22.3,0.303,95.6,4.62,Moderate,Recycled
717,Crayons,Plastic Wax Crayons,54.3,4.897,0.2,2.9,Not Sustainable,Coated
793,Edible Packaging,Edible Rice Straw,33.3,6.738,0.0,5.4,Not Sustainable,Low-Grade
421,Belts,Cork Belt,73.4,1.405,90.4,10.26,Moderate,Coated
200,Cotton Pads,Bamboo Cotton Pads,83.4,0.906,64.5,3.89,Moderate,Recycled
775,Scale (Ruler),Wooden Ruler,75.3,1.886,77.9,22.83,Moderate,Low-Grade
704,Crayons,Soy Crayons,38.8,0.463,92.5,1.23,Moderate,Recycled
985,Stool,Solid Wood Stool,64.3,2.109,82.9,21.89,Moderate,Standard
658,Car Cleaning Cloth,Microfiber Cloth,11.9,4.526,0.0,2.5,Not Sustainable,Premium
129,Toothbrushes,Plastic Toothbrush,30.1,4.053,0.0,4.27,Not Sustainable,Premium
52,Bags,Cotton Bag,85.9,1.888,73.2,2.44,Moderate,Low-Grade
87,Plates,Plastic Plate,31.9,5.094,1.2,1.24,Not Sustainable,Recycled
1108,Pan,Cast Iron Pan,35.8,3.364,0.0,2.67,Not Sustainable,Standard
999,Spoon,Plastic Spoon,56.2,5.767,2.1,2.93,Not Sustainable,Recycled
1015,Spoon,Bamboo Spoon,85.2,0.342,82.1,2.51,Moderate,Recycled
791,Edible Packaging,Edible Spoon,16.4,4.296,0.0,3.8,Not Sustainable,Premium
1012,Spoon,Bamboo Spoon,89.7,0.25,68.5,2.81,Eco-Friendly,Coated
888,Reusable Straws,Plastic Straw,26.2,6.352,0.0,2.72,Not Sustainable,Low-Grade
605,Seedling Pots,Jiffy Peat Pot,36.9,0.882,56.7,6.87,Not Sustainable,Untreated
803,Edible Packaging,Edible Spoon,12.6,4.536,0.0,4.32,Not Sustainable,Untreated
842,Reusable Cups,Bamboo Cup,91.0,0.505,70.7,3.36,Moderate,Recycled
382,Phone Cases,Biodegradable Case,28.5,1.746,81.8,1.73,Not Sustainable,Low-Grade
395,Laptop Cooling Pads,Metal Cooling Stand,90.0,1.128,1.2,12.79,Moderate,Untreated
45,Bags,Polyester Bag,36.1,7.615,0.0,3.24,Not Sustainable,Coated
851,Reusable Cups,Bamboo Cup,90.3,0.781,59.1,2.96,Moderate,Recycled
271,Cutting Boards,Bamboo Cutting Board,95.0,0.292,86.6,2.83,Eco-Friendly,Untreated
362,Phone Cases,Silicone Case,11.7,1.469,0.0,15.09,Not Sustainable,Coated
773,Scale (Ruler),Metal Ruler,92.5,1.602,0.9,23.24,Moderate,Coated
480,Wallets,PU Leather Wallet,22.8,6.437,0.0,4.7,Not Sustainable,Untreated
1104,Pan,Aluminum Pan,85.2,3.723,0.0,14.01,Not Sustainable,Low-Grade
114,Brushes,Plastic Brush,47.9,5.099,0.0,3.26,Not Sustainable,Standard
524,Curtains,Polyester Curtains,43.6,4.313,0.6,3.54,Not Sustainable,Standard
1062,Comb,Plastic Comb,48.9,5.41,0.0,1.62,Not Sustainable,Untreated
991,Spoon,Bamboo Spoon,94.0,0.151,82.6,3.71,Eco-Friendly,Untreated
199,Cotton Pads,Organic Cotton Pads,78.2,3.612,51.4,1.87,Moderate,Recycled
232,Food Wraps,Beeswax Food Wrap,28.9,0.805,95.9,1.42,Moderate,Low-Grade
707,Crayons,Soy Crayons,13.3,0.744,97.3,2.27,Not Sustainable,Recycled
483,Wall Clocks,Plastic Wall Clock,25.2,6.045,0.2,0.99,Not Sustainable,Untreated
539,Curtains,Cotton Curtains,80.2,1.944,50.7,0.76,Moderate,Recycled
927,Baby Bottles,Silicone Baby Bottle,28.2,1.045,0.0,7.55,Not Sustainable,Standard
535,Curtains,Cotton Curtains,83.3,3.061,63.0,2.55,Moderate,Recycled
71,Plates,Bamboo Plate,89.1,0.506,74.4,4.29,Moderate,Premium
550,Rugs,Jute Rug,85.5,0.959,77.2,7.86,Moderate,Recycled
102,Brushes,Plastic Brush,48.7,7.746,0.0,3.94,Not Sustainable,Coated
597,Food Trays,Plastic Tray,40.8,8.19,0.0,0.81,Not Sustainable,Premium
381,Phone Cases,Hard Plastic Case,12.0,7.056,1.2,2.57,Not Sustainable,Coated
248,Coffee Filter,Paper Coffee Filter,92.9,1.577,90.4,1.53,Moderate,Low-Grade
975,Stool,Plastic Stool,54.0,6.705,2.9,0.31,Not Sustainable,Coated
494,Wall Clocks,Metal Wall Clock,88.2,2.19,0.0,17.82,Moderate,Coated
293,Cutting Boards,Wooden Cutting Board,93.5,2.496,77.0,22.87,Moderate,Standard
1041,Soap Holders,Bamboo Soap Dish,82.2,0.331,67.6,5.24,Moderate,Recycled
209,Cotton Pads,Bamboo Cotton Pads,88.4,0.49,82.8,6.88,Eco-Friendly,Untreated
635,Car Cleaning Cloth,Cotton Cloth,64.1,1.745,46.8,4.42,Not Sustainable,Recycled
866,Reusable Cups,Bamboo Cup,82.4,0.548,79.6,6.27,Moderate,Premium
505,Wall Clocks,Wooden Wall Clock,63.1,1.472,77.5,22.02,Moderate,Standard
741,Geometry Boxes,Metal Geometry Box,98.6,1.267,0.0,13.05,Moderate,Recycled
852,Reusable Cups,Plastic Cup,22.1,6.901,0.1,0.3,Not Sustainable,Standard
32,Bags,Jute Bag,85.9,0.746,78.2,5.1,Moderate,Standard
139,Toothbrushes,Bamboo Toothbrush,86.7,0.728,61.4,2.62,Moderate,Low-Grade
244,Coffee Filter,Stainless Steel Coffee Filter,90.7,1.862,0.0,17.49,Moderate,Recycled
278,Cutting Boards,Wooden Cutting Board,89.3,0.905,91.5,22.83,Eco-Friendly,Premium
320,Disposable Plates,Bagasse Plate,16.4,0.4,96.1,0.1,Moderate,Premium
454,Wallets,Cork Wallet,91.9,1.601,82.8,11.5,Moderate,Untreated
287,Cutting Boards,Wooden Cutting Board,82.9,1.036,76.9,21.27,Moderate,Low-Grade
1002,Spoon,Plastic Spoon,28.6,6.448,0.4,0.89,Not Sustainable,Low-Grade
110,Brushes,Wooden Brush,59.6,2.774,77.0,23.14,Moderate,Recycled
329,Disposable Plates,Bagasse Plate,37.5,0.704,90.5,0.1,Moderate,Low-Grade
334,Disposable Cups,Paper Cup,73.4,1.656,96.2,1.16,Moderate,Coated
590,Food Trays,Aluminum Tray,93.6,3.911,0.0,9.01,Not Sustainable,Coated
951,Suitcase,Aluminum Suitcase,91.7,4.003,0.0,5.17,Not Sustainable,Untreated
426,Belts,Leather Belt,32.1,11.717,19.4,4.68,Not Sustainable,Standard
366,Phone Cases,Hard Plastic Case,18.3,4.756,1.0,2.56,Not Sustainable,Premium
757,Scale (Ruler),Wooden Ruler,84.8,0.731,92.2,6.81,Moderate,Coated
942,Suitcase,Aluminum Suitcase,78.3,3.214,0.0,20.35,Not Sustainable,Premium
1008,Spoon,Plastic Spoon,19.1,3.078,0.1,0.56,Not Sustainable,Recycled
337,Disposable Cups,Paper Cup,68.7,1.244,79.7,0.1,Moderate,Low-Grade
11,Bottles,Glass Bottle,85.5,1.272,0.0,7.36,Moderate,Low-Grade
347,Disposable Cups,Bioplastic Cup,56.7,4.467,0.9,2.64,Not Sustainable,Standard
309,Disposable Plates,Plastic Plate,31.5,3.816,0.3,3.97,Not Sustainable,Standard
97,Brushes,Bamboo Brush,86.5,0.424,76.8,5.16,Moderate,Standard
614,Seedling Pots,Jiffy Peat Pot,26.8,1.276,30.1,7.41,Not Sustainable,Low-Grade
276,Cutting Boards,Plastic Cutting Board,51.7,6.876,0.9,0.26,Not Sustainable,Untreated
1100,Pan,Non-stick Pan,27.0,5.827,0.7,3.36,Not Sustainable,Untreated
735,Geometry Boxes,Metal Geometry Box,91.8,3.687,0.0,15.73,Moderate,Low-Grade
142,Toothbrushes,Bamboo Toothbrush,97.3,0.839,69.9,2.59,Moderate,Coated
895,Reusable Straws,Steel Straw,89.8,2.789,1.4,19.56,Moderate,Recycled
324,Disposable Plates,Plastic Plate,44.0,6.244,1.3,2.5,Not Sustainable,Recycled
561,Rugs,Polyester Rug,38.7,6.414,1.5,2.66,Not Sustainable,Premium
412,Laptop Cooling Pads,Bamboo Cooling Stand,84.3,0.478,77.3,5.69,Moderate,Standard
668,Helmets,ABS Plastic Helmet,47.6,4.48,0.9,4.01,Not Sustainable,Coated
221,Food Wraps,Aluminum Foil,86.4,5.302,0.1,10.66,Not Sustainable,Untreated
983,Stool,Metal Stool,92.9,3.363,0.0,29.61,Moderate,Untreated
50,Bags,Jute Bag,92.1,0.458,72.6,3.03,Moderate,Standard
108,Brushes,Plastic Brush,13.4,4.182,0.0,3.41,Not Sustainable,Coated
60,Bags,Polyester Bag,19.1,6.542,0.0,2.68,Not Sustainable,Coated
650,Car Cleaning Cloth,Microfiber Cloth,17.7,2.653,2.0,5.95,Not Sustainable,Untreated
1079,Comb,Metal Comb,86.0,2.93,0.0,15.42,Moderate,Low-Grade
762,Scale (Ruler),Plastic Ruler,42.2,5.796,0.6,3.5,Not Sustainable,Untreated
759,Scale (Ruler),Plastic Ruler,35.4,7.498,1.1,2.97,Not Sustainable,Coated
319,Disposable Plates,Areca Leaf Plate,70.7,1.188,78.8,1.94,Moderate,Premium
406,Laptop Cooling Pads,Bamboo Cooling Stand,88.2,0.686,61.2,3.03,Moderate,Premium
526,Curtains,Polyester Curtains,20.8,3.807,0.3,1.3,Not Sustainable,Coated
24,Bottles,Plastic Bottle,29.7,5.875,0.0,0.73,Not Sustainable,Premium
723,Geometry Boxes,Metal Geometry Box,96.0,4.381,0.0,15.64,Moderate,Recycled
738,Geometry Boxes,Plastic Geometry Box,51.8,5.421,0.0,0.81,Not Sustainable,Coated
536,Curtains,Polyester Curtains,27.3,2.601,0.1,2.09,Not Sustainable,Standard
297,Cutting Boards,Plastic Cutting Board,54.1,2.46,1.5,3.83,Not Sustainable,Premium
978,Stool,Plastic Stool,22.2,6.145,1.3,1.35,Not Sustainable,Low-Grade
193,Cotton Pads,Organic Cotton Pads,64.0,3.464,32.6,0.94,Not Sustainable,Premium
1101,Pan,Aluminum Pan,78.4,4.796,0.0,8.1,Not Sustainable,Standard
1075,Comb,Wooden Comb,76.1,1.022,79.4,19.22,Moderate,Recycled
84,Plates,Plastic Plate,34.7,4.109,1.5,1.62,Not Sustainable,Low-Grade
834,Candles,Paraffin Wax Candle,46.9,8.313,0.1,2.13,Not Sustainable,Coated
920,Baby Bottles,Plastic Baby Bottle,15.1,5.583,1.5,2.62,Not Sustainable,Standard
210,Cotton Pads,Synthetic Cotton Pads,58.7,3.533,70.7,1.93,Not Sustainable,Recycled
683,Helmets,Recycled Polymer Helmet,60.0,3.89,0.0,6.93,Not Sustainable,Untreated
542,Rugs,Wool Rug,82.2,3.26,89.0,12.98,Moderate,Standard
946,Suitcase,Recycled Plastic Suitcase,16.9,7.903,0.0,4.52,Not Sustainable,Premium
77,Plates,Bamboo Plate,84.3,0.985,79.6,4.25,Moderate,Untreated
622,Seedling Pots,Coir Pot,37.9,0.653,31.3,5.82,Not Sustainable,Coated
799,Edible Packaging,Edible Rice Straw,41.8,6.078,0.9,1.39,Not Sustainable,Low-Grade
697,Crayons,Beeswax Crayons,10.3,0.01,94.0,1.99,Moderate,Premium
731,Geometry Boxes,Metal Geometry Box,97.6,3.647,0.0,27.14,Moderate,Coated
1035,Soap Holders,Bamboo Soap Dish,90.0,0.299,70.3,6.73,Eco-Friendly,Premium
425,Belts,Cork Belt,93.2,1.022,89.6,10.39,Eco-Friendly,Standard
332,Disposable Cups,Bioplastic Cup,56.5,4.97,0.9,2.77,Not Sustainable,Untreated
266,Coffee Filter,Paper Coffee Filter,92.4,1.226,92.5,0.1,Moderate,Premium
140,Toothbrushes,Biodegradable Toothbrush,32.7,2.52,1.6,1.98,Not Sustainable,Premium
431,Belts,Cork Belt,92.1,1.417,87.8,7.11,Moderate,Low-Grade
452,Wallets,Leather Wallet,35.6,12.257,19.6,2.87,Not Sustainable,Recycled
595,Food Trays,Sugarcane Bagasse Tray,28.0,0.947,96.0,0.75,Not Sustainable,Premium
822,Candles,Paraffin Wax Candle,57.8,5.601,0.2,1.63,Not Sustainable,Premium
157,Lunchboxes,Steel Lunchbox,94.3,1.711,0.1,21.37,Moderate,Untreated
179,Lunchboxes,Plastic Lunchbox,47.9,7.413,1.5,4.65,Not Sustainable,Premium
274,Cutting Boards,Bamboo Cutting Board,93.4,0.499,70.1,4.21,Moderate,Coated
459,Wallets,PU Leather Wallet,28.6,4.631,1.3,5.74,Not Sustainable,Untreated
478,Wallets,Cork Wallet,80.8,1.173,83.9,5.9,Moderate,Recycled
424,Belts,Leather Belt,39.3,7.539,8.1,4.69,Not Sustainable,Standard
159,Lunchboxes,Bamboo Lunchbox,89.9,0.606,86.8,5.38,Eco-Friendly,Untreated
530,Curtains,Polyester Curtains,58.0,6.209,0.6,3.13,Not Sustainable,Premium
701,Crayons,Soy Crayons,18.3,0.119,95.4,2.92,Moderate,Coated
651,Car Cleaning Cloth,Cotton Cloth,59.6,3.181,80.0,4.49,Moderate,Low-Grade
378,Phone Cases,Hard Plastic Case,53.8,3.491,1.3,4.06,Not Sustainable,Standard
784,Edible Packaging,Edible Rice Straw,45.4,3.228,0.9,3.57,Not Sustainable,Standard
79,Plates,Palm Leaf Plate,43.0,6.748,0.7,2.76,Not Sustainable,Recycled
783,Edible Packaging,Non-edible Plastic Straw,24.9,3.649,0.0,1.74,Not Sustainable,Coated
175,Lunchboxes,Steel Lunchbox,93.4,3.293,0.0,29.85,Moderate,Standard
328,Disposable Plates,Areca Leaf Plate,86.3,0.789,88.5,0.1,Moderate,Coated
972,Stool,Plastic Stool,44.3,3.865,0.9,3.75,Not Sustainable,Low-Grade
973,Stool,Solid Wood Stool,94.5,2.436,70.2,5.57,Moderate,Low-Grade
789,Edible Packaging,Non-edible Plastic Straw,34.6,4.763,0.0,2.22,Not Sustainable,Premium
40,Bags,Cotton Bag,67.9,1.512,37.2,1.9,Not Sustainable,Standard
31,Bags,Cotton Bag,79.8,4.175,55.9,3.07,Moderate,Coated
821,Candles,Beeswax Candle,31.4,0.544,98.3,3.8,Moderate,Untreated
137,Toothbrushes,Biodegradable Toothbrush,20.4,4.812,0.0,3.49,Not Sustainable,Standard
55,Bags,Cotton Bag,70.2,1.651,49.5,4.04,Moderate,Coated
928,Baby Bottles,Glass Baby Bottle,85.9,1.93,4.8,9.89,Moderate,Coated
616,Seedling Pots,Coir Pot,18.4,1.121,37.1,9.58,Not Sustainable,Untreated
719,Crayons,Soy Crayons,35.9,0.808,84.7,1.03,Moderate,Standard
569,Rugs,Wool Rug,85.5,4.115,72.2,10.09,Moderate,Premium
515,Curtains,Cotton Curtains,80.0,1.943,53.8,0.52,Moderate,Recycled
823,Candles,Soy Wax Candle,34.0,0.668,97.6,4.76,Moderate,Recycled
4,Bottles,Plastic Bottle,16.6,5.013,0.0,3.71,Not Sustainable,Standard
333,Disposable Cups,Plastic Cup,47.6,3.618,1.5,4.36,Not Sustainable,Low-Grade
1099,Pan,Cast Iron Pan,50.9,4.902,2.0,1.6,Not Sustainable,Coated
1078,Comb,Wooden Comb,62.8,0.896,77.8,21.31,Moderate,Untreated
694,Crayons,Beeswax Crayons,28.2,0.563,98.7,1.89,Moderate,Coated
751,Scale (Ruler),Wooden Ruler,62.3,2.273,92.8,18.41,Moderate,Low-Grade
787,Edible Packaging,Edible Rice Straw,53.6,6.649,2.1,2.77,Not Sustainable,Premium
886,Reusable Straws,Steel Straw,97.5,2.94,0.0,21.99,Moderate,Untreated
669,Helmets,Recycled Polymer Helmet,62.1,3.436,0.0,11.75,Not Sustainable,Recycled
59,Bags,Jute Bag,93.4,0.639,92.7,7.76,Eco-Friendly,Low-Grade
290,Cutting Boards,Wooden Cutting Board,87.1,1.883,82.1,23.78,Moderate,Recycled
299,Cutting Boards,Wooden Cutting Board,61.8,2.288,85.0,11.97,Moderate,Premium
64,Plates,Palm Leaf Plate,45.6,6.273,0.1,3.99,Not Sustainable,Coated
257,Coffee Filter,Paper Coffee Filter,67.1,0.679,90.6,0.1,Moderate,Coated
335,Disposable Cups,Bioplastic Cup,9.8,5.816,2.2,1.19,Not Sustainable,Recycled
674,Helmets,ABS Plastic Helmet,36.6,4.479,0.9,1.55,Not Sustainable,Standard
101,Brushes,Wooden Brush,74.7,0.826,71.7,21.22,Moderate,Premium
169,Lunchboxes,Steel Lunchbox,92.7,3.044,0.0,24.21,Moderate,Standard
544,Rugs,Jute Rug,94.8,0.557,90.3,9.01,Eco-Friendly,Standard
360,Disposable Cups,Plastic Cup,33.7,4.306,1.0,4.44,Not Sustainable,Premium
405,Laptop Cooling Pads,Plastic Cooling Pad,55.7,8.005,0.0,4.6,Not Sustainable,Premium
529,Curtains,Cotton Curtains,64.9,2.959,36.8,2.94,Not Sustainable,Untreated
729,Geometry Boxes,Metal Geometry Box,89.0,3.962,0.7,10.8,Not Sustainable,Recycled
219,Food Wraps,Plastic Wrap,8.4,3.744,0.0,3.68,Not Sustainable,Premium
1052,Comb,Metal Comb,87.8,3.25,0.3,13.54,Not Sustainable,Premium
458,Wallets,Leather Wallet,41.6,9.611,6.7,5.66,Not Sustainable,Standard
532,Curtains,Polyester Curtains,43.5,4.446,0.2,1.86,Not Sustainable,Standard
768,Scale (Ruler),Plastic Ruler,52.4,4.319,0.0,3.26,Not Sustainable,Premium
238,Food Wraps,Beeswax Food Wrap,33.4,0.832,95.8,5.01,Moderate,Coated
67,Plates,Palm Leaf Plate,10.5,5.392,0.0,3.54,Not Sustainable,Untreated
931,Suitcase,Recycled Plastic Suitcase,21.0,5.681,0.0,3.35,Not Sustainable,Premium
68,Plates,Bamboo Plate,80.7,0.474,77.7,6.26,Moderate,Coated
414,Laptop Cooling Pads,Plastic Cooling Pad,48.1,3.529,0.0,3.02,Not Sustainable,Low-Grade
13,Bottles,Bamboo Bottle,93.7,0.547,79.0,2.69,Moderate,Low-Grade
936,Suitcase,Aluminum Suitcase,77.6,3.179,0.0,15.25,Not Sustainable,Low-Grade
629,Seedling Pots,Jiffy Peat Pot,14.2,1.243,43.7,8.88,Not Sustainable,Untreated
468,Wallets,PU Leather Wallet,25.6,8.739,0.0,5.78,Not Sustainable,Standard
300,Cutting Boards,Plastic Cutting Board,28.9,4.431,0.6,2.89,Not Sustainable,Premium
860,Reusable Cups,Bamboo Cup,89.1,0.712,87.3,5.7,Moderate,Coated
760,Scale (Ruler),Wooden Ruler,92.6,2.618,89.5,13.52,Moderate,Standard
185,Cotton Pads,Bamboo Cotton Pads,96.6,1.15,94.5,3.75,Moderate,Premium
573,Food Trays,Plastic Tray,42.4,7.771,0.6,2.61,Not Sustainable,Standard
549,Rugs,Polyester Rug,45.7,3.63,0.5,3.87,Not Sustainable,Low-Grade
966,Stool,Plastic Stool,33.2,6.125,0.3,1.01,Not Sustainable,Coated
391,Laptop Cooling Pads,Bamboo Cooling Stand,91.8,0.419,85.0,4.64,Eco-Friendly,Premium
1030,Soap Holders,Plastic Soap Dish,51.9,6.565,0.8,2.62,Not Sustainable,Premium
617,Seedling Pots,Jiffy Peat Pot,38.8,1.784,45.9,9.11,Not Sustainable,Low-Grade
992,Spoon,Steel Spoon,91.6,1.706,0.0,18.18,Moderate,Premium
708,Crayons,Plastic Wax Crayons,44.2,4.808,3.1,2.1,Not Sustainable,Untreated
846,Reusable Cups,Plastic Cup,57.1,5.98,1.6,3.47,Not Sustainable,Premium
979,Stool,Solid Wood Stool,77.7,2.406,67.4,24.0,Moderate,Low-Grade
352,Disposable Cups,Paper Cup,76.0,0.547,92.7,1.62,Moderate,Standard
322,Disposable Plates,Areca Leaf Plate,68.6,0.833,95.1,0.1,Moderate,Low-Grade
1048,Soap Holders,Plastic Soap Dish,11.8,6.09,0.2,3.79,Not Sustainable,Coated
3,Bottles,Glass Bottle,86.0,2.197,2.7,5.86,Not Sustainable,Coated
7,Bottles,Glass Bottle,94.8,1.226,0.8,15.03,Moderate,Premium
591,Food Trays,Plastic Tray,57.1,4.615,1.0,4.38,Not Sustainable,Recycled
693,Crayons,Plastic Wax Crayons,53.0,6.129,1.0,4.49,Not Sustainable,Recycled
865,Reusable Cups,Steel Mug,93.8,3.993,0.9,24.92,Moderate,Recycled
245,Coffee Filter,Paper Coffee Filter,60.5,1.736,96.9,1.05,Moderate,Coated
345,Disposable Cups,Plastic Cup,32.6,6.84,0.0,1.84,Not Sustainable,Untreated
618,Seedling Pots,Plastic Nursery Pot,17.9,2.583,0.0,2.36,Not Sustainable,Recycled
891,Reusable Straws,Plastic Straw,36.6,6.128,0.0,1.73,Not Sustainable,Recycled
216,Food Wraps,Plastic Wrap,20.1,7.304,0.4,0.1,Not Sustainable,Premium
675,Helmets,Recycled Polymer Helmet,72.9,4.432,0.0,10.95,Not Sustainable,Untreated
715,Crayons,Beeswax Crayons,17.1,1.148,94.9,2.99,Not Sustainable,Low-Grade
584,Food Trays,Aluminum Tray,76.0,5.184,1.1,17.86,Not Sustainable,Recycled
1036,Soap Holders,Plastic Soap Dish,30.7,3.656,0.0,4.27,Not Sustainable,Coated
446,Belts,Leather Belt,40.4,5.211,11.8,7.15,Not Sustainable,Low-Grade
1024,Soap Holders,Plastic Soap Dish,15.6,6.254,1.1,4.59,Not Sustainable,Standard
261,Coffee Filter,Disposable Plastic Coffee Pods,21.2,6.525,1.8,5.01,Not Sustainable,Premium
662,Helmets,ABS Plastic Helmet,38.5,5.242,1.5,1.21,Not Sustainable,Recycled
653,Car Cleaning Cloth,Cotton Cloth,83.9,2.742,79.6,2.3,Moderate,Recycled
436,Belts,Leather Belt,27.8,10.057,14.4,6.91,Not Sustainable,Premium
621,Seedling Pots,Plastic Nursery Pot,13.3,5.225,2.2,1.55,Not Sustainable,Standard
372,Phone Cases,Hard Plastic Case,52.8,4.927,0.9,0.74,Not Sustainable,Low-Grade
902,Baby Bottles,Plastic Baby Bottle,38.2,3.653,0.4,1.75,Not Sustainable,Low-Grade
291,Cutting Boards,Plastic Cutting Board,24.4,4.722,0.9,2.99,Not Sustainable,Untreated
507,Wall Clocks,Plastic Wall Clock,42.6,3.935,0.0,1.7,Not Sustainable,Standard
853,Reusable Cups,Steel Mug,91.5,2.748,0.0,13.22,Moderate,Premium
26,Bottles,Steel Bottle,89.8,2.377,0.0,21.72,Moderate,Low-Grade
585,Food Trays,Plastic Tray,19.6,6.667,1.5,0.66,Not Sustainable,Low-Grade
1020,Spoon,Plastic Spoon,49.3,4.231,1.9,4.09,Not Sustainable,Low-Grade
107,Brushes,Wooden Brush,71.6,1.878,71.7,8.34,Moderate,Untreated
56,Bags,Jute Bag,91.2,1.516,94.0,5.71,Moderate,Recycled
894,Reusable Straws,Plastic Straw,34.9,5.458,1.1,4.02,Not Sustainable,Low-Grade
214,Food Wraps,Beeswax Food Wrap,38.2,0.562,96.9,2.75,Moderate,Recycled
121,Toothbrushes,Bamboo Toothbrush,89.3,0.357,63.0,6.96,Moderate,Coated
449,Belts,Cork Belt,93.6,0.093,82.7,4.83,Eco-Friendly,Untreated
295,Cutting Boards,Bamboo Cutting Board,95.6,0.951,86.8,7.05,Moderate,Standard
73,Plates,Palm Leaf Plate,36.0,7.003,0.5,2.97,Not Sustainable,Recycled
940,Suitcase,Recycled Plastic Suitcase,28.7,4.574,0.1,1.51,Not Sustainable,Standard
592,Food Trays,Sugarcane Bagasse Tray,38.8,0.264,98.7,0.1,Moderate,Premium
833,Candles,Beeswax Candle,39.7,0.744,90.5,3.1,Moderate,Standard
977,Stool,Metal Stool,88.9,3.314,0.1,25.2,Moderate,Recycled
437,Belts,Cork Belt,77.2,0.357,91.3,4.62,Moderate,Standard
448,Belts,Leather Belt,31.9,6.605,8.9,5.18,Not Sustainable,Standard
310,Disposable Plates,Areca Leaf Plate,65.9,0.761,84.8,0.1,Moderate,Low-Grade
356,Disposable Cups,Bioplastic Cup,26.4,7.844,0.6,1.67,Not Sustainable,Premium
782,Edible Packaging,Edible Spoon,36.7,6.677,0.5,0.1,Not Sustainable,Standard
528,Curtains,Polyester Curtains,31.5,6.02,0.7,2.83,Not Sustainable,Recycled
702,Crayons,Plastic Wax Crayons,7.8,2.86,0.0,1.66,Not Sustainable,Premium
